Title,Author,Genre,Published Date,Descriprion,Preveiw Link
Munch,"['Steffen Kverneland', 'Johann Ulrich']",['Comic'],2013,No description available,http://books.google.co.in/books?id=Y0LJlgEACAAJ&dq=subject:comic&hl=&cd=1&source=gbs_api
Comic Transformations in Shakespeare,['Ruth Nevo'],['Comic'],1980,"In this study of Shakespeare's ten early comedies, from ""The Comedy of Errors"" to ""Twelfth Night,"" the concept of a dynamic of comic form is developed.",http://books.google.co.in/books?id=GVdwAAAAIAAJ&dq=subject:comic&hl=&cd=2&source=gbs_api
Dragon Ball,['Akira Toriyama'],['Juvenile Fiction'],2001,"Recounts the adventures of Son Goku, a boy martial artist with a monkey tail, and his friends as they search for the seven magical Dragon Balls, in a graphic novel that reveals the early days of the heroes of ""Dragon Ball Z.""",http://books.google.co.in/books?id=1xFhPwAACAAJ&dq=subject:comic&hl=&cd=3&source=gbs_api
Manga! Manga!,['Frederik L. Schodt'],['Comic'],1986,"Illustrated with the most representative examples of the genre, this book in English explores the world of Japanese comics. Since first published in 1983, Manga! Manga!: The World of Japanese Comics has been the book to read for all those interested in Japanese comics. It is virtually the bible' from which all studies and appreciation of manga begins. More than that, given the influence of Japanese manga on animation and on American-produced comics as well, Manga! Manga! provides the background against which these other arts can be understood. The book includes 96 pages'",http://books.google.co.in/books?id=OMpTaEzEtsQC&dq=subject:comic&hl=&cd=4&source=gbs_api
"Cartoonists, Works, and Characters in the United States Through 2005",['John Lent'],['Social Science'],2006-04-30,"This penultimate work in John Lent's series of bibliographies on comic art gathers together an astounding array of citations on American cartoonists and their work. Author John Lent has used all manner of methods to gather the citations, searching library and online databases, contacting scholars and other professionals, attending conferences and festivals, and scanning hundreds of periodicals. He has gone to great length to categorize the citations in an easy-to-use, scholarly fashion, and in the process, has helped to establish the field of comic art as an important part of social science and humanities research. The ten volumes in this series, covering all regions of the world, constitute the largest printed bibliography of comic art in the world, and serve as the beacon guiding the burgeoning fields of animation, comics, and cartooning. They are the definitive works on comic art research, and are exhaustive in their inclusiveness, covering all types of publications (academic, trade, popular, fan, etc.) from all over the world. Also included in these books are citations to systematically-researched academic exercises, as well as more ephemeral sources such as fanzines, press articles, and fugitive materials (conference papers, unpublished documents, etc.), attesting to Lent's belief that all pieces of information are vital in a new field of study such as comic art.",http://books.google.co.in/books?id=zN5UAAAAMAAJ&dq=subject:comic&hl=&cd=5&source=gbs_api
Like a Velvet Glove Cast in Iron,['Daniel Clowes'],['Comic'],2017,"This is a redesigned reprint of Daniel Clowes's early, unsettling graphic novel.",http://books.google.co.in/books?id=rZJNvgAACAAJ&dq=subject:comic&hl=&cd=6&source=gbs_api
Top Shelf Asks the Big Questions,"['Brett Warnock', 'Robert Goodin']",['Comics & Graphic Novels'],2003,"Edited by Brett Warnock and Robert Goodin, this issue of Top Shelf includes Alan Moore and Melinda Gebbie's banned DC Comics ""Cobweb"" story; a Peanuts tribute featuring Chris Ware, Seth, and a host of other cartoonists; a brand new section by the Swiss avant-garde cartoonist collective Arta Bile; an excerpt of a graphic novel by Martin Tom Dieck; new contributions by the entire Robot Publishing gang (a group of professional animators led by Robert Goodin who make amazing comics); an interview with David Chelsea that includes a portfolio; and new strips by Steve Weissman, James Kochalka, Matt Madden, James Sturm, Mack White, and many more!",http://books.google.co.in/books?id=t3FQAAAAMAAJ&dq=subject:comic&hl=&cd=7&source=gbs_api
Education and the Female Superhero,['Andrew L. Grunzke'],['Social Science'],2019-12-15,"Exploring a variety of female superhero narratives, including Wonder Woman comics and television shows like The Secrets of Isis, The Bionic Woman, and Buffy the Vampire Slayer, this book argues that twentieth-century superheroine stories historically depicted education as the path to female liberation and empowerment.",http://books.google.co.in/books?id=lLCnyQEACAAJ&dq=subject:comic&hl=&cd=8&source=gbs_api
Comics Art,['Paul Gravett'],['Art'],2013,"In this fascinating survey, acclaimed author Paul Gravett considers the vast output of comics culture from the late 19th century to today, tracing international lines of influence and examining major themes in contemporary comics.",http://books.google.co.in/books?id=A5k2nwEACAAJ&dq=subject:comic&hl=&cd=9&source=gbs_api
Komik und Humor,['Theodor Lipps'],['Comic'],1898,No description available,http://books.google.co.in/books?id=hB10PZux9YQC&printsec=frontcover&dq=subject:comic&hl=&cd=10&source=gbs_api
Obelix GMBH & Co. KG,"['René Goscinny', 'Gudrun Penndorf', 'Albert Uderzo']",no genre,2013,No description available,http://books.google.co.in/books?id=jxgcNQEACAAJ&dq=subject:comic&hl=&cd=11&source=gbs_api
Asterix in Italien,"['Jean-Yves Ferri', 'Didier Conrad']",no genre,2017-10-19,Asterix und Obelix begeben sich in die Höhle des Löwen! Ein turbulentes Abenteuer der Gallier im Italien der Antike.,http://books.google.co.in/books?id=O4eYswEACAAJ&dq=subject:comic&hl=&cd=12&source=gbs_api
Asterix bei den Schweizern,"['René Goscinny', 'Albert Uderzo']",no genre,2013,No description available,http://books.google.co.in/books?id=C9q0NAEACAAJ&dq=subject:comic&hl=&cd=13&source=gbs_api
Asterix 40,['Fabcaro'],no genre,2023-10-26,No description available,http://books.google.co.in/books?id=m2PEzwEACAAJ&dq=subject:comic&hl=&cd=14&source=gbs_api
Asterix 29: Asterix und Maestria,"['René Goscinny', 'Albert Uderzo']",no genre,2013-03,No description available,http://books.google.co.in/books?id=v7qonAEACAAJ&dq=subject:comic&hl=&cd=15&source=gbs_api
Asterix 35: Asterix bei den Pikten,"['Jean-Yves Ferri', 'Didier Conrad']",no genre,2013-10-24,No description available,http://books.google.co.in/books?id=_SlwmwEACAAJ&dq=subject:comic&hl=&cd=16&source=gbs_api
Anthropologie und Medialität des Komischen im 17. Jahrhundert (1580-1730),['Stefanie Arend'],['Literary Criticism'],2008,"Der Band basiert auf einer Tagung, die die Internationale Andreas Gryphius-Gesellschaft in Zusammenarbeit mit dem Department Germanistik und Komparatistik der Friedrich-Alexander-Universität Erlangen-Nürnberg vom 20. bis 23. September 2005 in Erlangen durchgeführt hat. Angeregt durch neue kulturwissenschaftliche Fragestellungen, nehmen die Beiträge aus unterschiedlichen Disziplinen die Ästhetik komisierender Verfahren in Literatur und Bild des 17. Jahrhunderts in den Blick. Sie beschäftigen sich mit semiotischen und materialen Erscheinungsformen des Komischen in unterschiedlichen Textsorten, mit poetischen und poetologischen Fragestellungen und diskutieren Probleme der Inszenierung des Komischen sowie Möglichkeiten seiner Grenzbestimmung. Immer wieder gerät dabei die virulente Frage nach der Rezeption des Komischen ins Zentrum des Interesses.",http://books.google.co.in/books?id=nTLqSnygEbYC&printsec=frontcover&dq=subject:comic&hl=&cd=17&source=gbs_api
Asterix 34,['Albert Uderzo'],no genre,2017-07-15,No description available,http://books.google.co.in/books?id=-5PrAQAACAAJ&dq=subject:comic&hl=&cd=18&source=gbs_api
Asterix 19: Der Seher,"['René Goscinny', 'Albert Uderzo']",no genre,2013-03,No description available,http://books.google.co.in/books?id=3GVenQEACAAJ&dq=subject:comic&hl=&cd=19&source=gbs_api
Asterix 25: Der große Graben,"['René Goscinny', 'Albert Uderzo']",no genre,2013-03,No description available,http://books.google.co.in/books?id=vllcnQEACAAJ&dq=subject:comic&hl=&cd=20&source=gbs_api
ぼくのマンガ人生,['手塚治虫'],['Reference'],1997-05,ぼくのマンガは大阪大空襲と八月一五日が原点だ―子供時代、父母、先生、友人との触れあい、作品にこめた熱いメッセージを語る。マンガを読み聞かせてくれた母、作文する楽しさを教えてくれた先生、絶体絶命の苦境で助けてくれた友。彼の創作を支えたものは何か。不滅のマンガ家が遺した講演記録を編集、ハートフルな肉声がいま甦る。,http://books.google.co.in/books?id=HccpAQAAIAAJ&dq=subject:comic&hl=&cd=21&source=gbs_api
Le rire,['Louis Philbert'],['Comic'],1883,No description available,http://books.google.co.in/books?id=zU41AQAAMAAJ&printsec=frontcover&dq=subject:comic&hl=&cd=22&source=gbs_api
One piece,['Eiichirō Oda'],no genre,2001,No description available,http://books.google.co.in/books?id=h3HdAAAACAAJ&dq=subject:comic&hl=&cd=23&source=gbs_api
Comics neu erfinden,['Scott McCloud'],['Comic - Digitalisierung - Internet - Comic'],2001,No description available,http://books.google.co.in/books?id=mifNAAAACAAJ&dq=subject:comic&hl=&cd=24&source=gbs_api
Zum Problem des Komischen anlässlich Molières,['Eduard Wechssler'],['Comic'],1912,No description available,http://books.google.co.in/books?id=qlVBAQAAIAAJ&dq=subject:comic&hl=&cd=25&source=gbs_api
"Boris, Babette und lauter Skelette",['Tanja Esch'],no genre,2022-10,No description available,http://books.google.co.in/books?id=Z8I5zwEACAAJ&dq=subject:comic&hl=&cd=26&source=gbs_api
"Die drei ??? Kids, Fußball, Ferien, Freunde!","['Christian Hector', 'Björn Springorum']",no genre,2021-02-11,No description available,http://books.google.co.in/books?id=lrz_zQEACAAJ&dq=subject:comic&hl=&cd=27&source=gbs_api
Hugo & Hassan forever,['Kim Fupz Aakeson'],no genre,2021-08-20,No description available,http://books.google.co.in/books?id=hf9lzgEACAAJ&dq=subject:comic&hl=&cd=28&source=gbs_api
美国连环漫画史,['洪佩奇'],['Comic'],2007,"本书以大量图文资料对美国连环漫画的产生、大萧条和第二次世界大战在连环漫画中的反映、连环漫画期刊的兴起与繁荣等一百多年来美国重大的连环漫画现象作了详尽的介绍,并对其背景、起因、发展过程及影响作了客观的评述。",http://books.google.co.in/books?id=pSglIAAACAAJ&dq=subject:comic&hl=&cd=29&source=gbs_api
Spider-Man: Fake Red (Manga),['Yusuke Osaw'],no genre,2023-12-19,No description available,http://books.google.co.in/books?id=Co_ZzwEACAAJ&dq=subject:comic&hl=&cd=30&source=gbs_api
Comics,['Stephan Ditschke'],['Comic'],2009,No description available,http://books.google.co.in/books?id=rC4avgAACAAJ&dq=subject:comic&hl=&cd=31&source=gbs_api
FRNCK. Band 1,['Olivier Bocquet'],no genre,2021-09-24,No description available,http://books.google.co.in/books?id=OM4bzgEACAAJ&dq=subject:comic&hl=&cd=32&source=gbs_api
GermanLetsPlay: Im Wirbel der Welten,"['GermanLetsPlay', 'Dario Haramustek', 'Haiko Hörnig', 'Glp. Tv']",no genre,2021-09-06,No description available,http://books.google.co.in/books?id=Nqt4zgEACAAJ&dq=subject:comic&hl=&cd=33&source=gbs_api
GEOlino Wadenbeißer - Geniale Krimi-Comics Band 8,['Ina Rometsch'],no genre,2021-03-10,No description available,http://books.google.co.in/books?id=IYAOzgEACAAJ&dq=subject:comic&hl=&cd=34&source=gbs_api
Demon Slayer 1,['Koyoharu Gotouge'],no genre,2020-04-02,No description available,http://books.google.co.in/books?id=NIEBywEACAAJ&dq=subject:comic&hl=&cd=35&source=gbs_api
Das magische Baumhaus (Band 1) - Im Tal der Dinosaurier,"['Mary Pope Osborne', 'Jenny Laird']",no genre,2022-01-12,No description available,http://books.google.co.in/books?id=qvK-zgEACAAJ&dq=subject:comic&hl=&cd=36&source=gbs_api
Nordlicht 02,['Malin Falch'],no genre,2023,No description available,http://books.google.co.in/books?id=PvZn0AEACAAJ&dq=subject:comic&hl=&cd=37&source=gbs_api
Knallharte Tauben haben den Schnabel voll (Band 4),['Andrew Mcdonald'],no genre,2021-08-11,No description available,http://books.google.co.in/books?id=aGhtzgEACAAJ&dq=subject:comic&hl=&cd=38&source=gbs_api
Das Dorf (Band 2) - Gefahr im Nether,['Karl Olsberg'],no genre,2022-02-09,No description available,http://books.google.co.in/books?id=7z6_zgEACAAJ&dq=subject:comic&hl=&cd=39&source=gbs_api
Idefix und die Unbeugsamen! 01,"['René Goscinny', 'Albert Uderzo', 'Yves Coulon', 'Jérôme Erbin', 'Matthieu Choquet']",no genre,2022-03-09,No description available,http://books.google.co.in/books?id=Fny5zgEACAAJ&dq=subject:comic&hl=&cd=40&source=gbs_api
