Title,Author,Genre,Published Date,Descriprion,Preveiw Link
The Plague,['Albert Camus'],['Fiction'],1991-05-07,"“Its relevance lashes you across the face.” —Stephen Metcalf, The Los Angeles Times • “A redemptive book, one that wills the reader to believe, even in a time of despair.” —Roger Lowenstein, The Washington Post A haunting tale of human resilience and hope in the face of unrelieved horror, Albert Camus' iconic novel about an epidemic ravaging the people of a North African coastal town is a classic of twentieth-century literature. The townspeople of Oran are in the grip of a deadly plague, which condemns its victims to a swift and horrifying death. Fear, isolation and claustrophobia follow as they are forced into quarantine. Each person responds in their own way to the lethal disease: some resign themselves to fate, some seek blame, and a few, like Dr. Rieux, resist the terror. An immediate triumph when it was published in 1947, The Plague is in part an allegory of France's suffering under the Nazi occupation, and a timeless story of bravery and determination against the precariousness of human existence.",http://books.google.co.in/books?id=KVGd-NabpW0C&dq=subject:fiction&hl=&cd=1&source=gbs_api
Journey to the Center of the Earth,['Jules Verne'],['Fiction'],2006-04-25,"The intrepid Professor Lindenbrock embarks upon the strangest expedition of the nineteenth century: a journey down an extinct Icelandic volcano to the Earth’s very core. In his quest to penetrate the planet’s primordial secrets, the geologist—together with his quaking nephew Axel and their devoted guide, Hans—discovers an astonishing subterranean menagerie of prehistoric proportions. Verne’s imaginative tale is at once the ultimate science fiction adventure and a reflection on the perfectibility of human understanding and the psychology of the questor. As David Brin notes in his Introduction, though Verne never knew the term “science fiction,” Journey to the Centre of the Earth is “inarguably one of the wellsprings from which it all began.”",http://books.google.co.in/books?id=icKmd-tlvPMC&printsec=frontcover&dq=subject:fiction&hl=&cd=2&source=gbs_api
Mohini Theevu,['Kalki'],['Fiction'],2022-10-26,Conversations turns into story telling of one’s lifetime experience of visiting a Island somewhere below the Sri Lanka. A Writer who forced to take a trip to India from Burma aka Myanmar due to outbreak of war. Unfortunately or fortunately he get to travel in a old crowded ship.Due to Fear of bombers captain of the ship takes them to near by island. Beauty of the island invites everyone to it but few along with captain travels to the island. Where captain explains his earlier visit to island and take them back to ship. But writer wish to spend some more time before the ship continues its voyage so he hide himself behind the trees. Captain and passengers takes the row boat and ride back to the ship. They realise they left someone behind but due to sunset they decide to stay back in ship till dawn. Writer revisit the spot he enjoyed few moments back and experience something strange events. How those strange events impact him? Did he able to return back to ship? What story is awaiting for the writer to tell his friends is all about the story.,http://books.google.co.in/books?id=MZyXEAAAQBAJ&printsec=frontcover&dq=subject:fiction&hl=&cd=3&source=gbs_api
The Odyssey of Homer,['Homer'],['Fiction'],2005-12-06,"Homer's epic chronicle of the Greek hero Odysseus' journey home from the Trojan War has inspired writers from Virgil to James Joyce. Odysseus survives storm and shipwreck, the cave of the Cyclops and the isle of Circe, the lure of the Sirens' song and a trip to the Underworld, only to find his most difficult challenge at home, where treacherous suitors seek to steal his kingdom and his loyal wife, Penelope. Favorite of the gods, Odysseus embodies the energy, intellect, and resourcefulness that were of highest value to the ancients and that remain ideals in out time. In this new verse translation, Allen Mandelbaum--celebrated poet and translator of Virgil's Aeneid and Dante's Divine Comedy --realizes the power and beauty of the original Greek verse and demonstrates why the epic tale of The Odyssey has captured the human imagination for nearly three thousand years.",http://books.google.co.in/books?id=ORyo8qAA-CQC&printsec=frontcover&dq=subject:fiction&hl=&cd=4&source=gbs_api
The Picture of Dorian Gray,['Oscar Wilde'],no genre,2019-07-12,"The Picture of Dorian Gray is the only published novel by Oscar Wilde, appearing as the lead story in Lippincott's Monthly Magazine on 20 June 1890, printed as the July 1890 issue. The magazine's editors feared the story was indecent as submitted, so they censored roughly 500 words, without Wilde's knowledge, before publication. But even with that, the story was still greeted with outrage by British reviewers, some of whom suggested that Wilde should be prosecuted on moral grounds, leading Wilde to defend the novel aggressively in letters to the British press. Today, Wilde's fin de siècle novella is considered a classic. This new edition from Immortal Books includes footnotes and images.",http://books.google.co.in/books?id=6vGiDwAAQBAJ&printsec=frontcover&dq=subject:fiction&hl=&cd=5&source=gbs_api
The Boleyn Inheritance,['Philippa Gregory'],['Fiction'],2008-12-30,"THREE WOMEN WHO SHARE ONE FATE: THE BOLEYN INHERITANCE ANNE OF CLEVES She runs from her tiny country, her hateful mother, and her abusive brother to a throne whose last three occupants are dead. King Henry VIII, her new husband, instantly dislikes her. Without friends, family, or even an understanding of the language being spoken around her, she must literally save her neck in a court ruled by a deadly game of politics and the terror of an unpredictable and vengeful king. Her Boleyn Inheritance: accusations and false witnesses. KATHERINE HOWARD She catches the king's eye within moments of arriving at court, setting in motion the dreadful machine of politics, intrigue, and treason that she does not understand. She only knows that she is beautiful, that men desire her, that she is young and in love -- but not with the diseased old man who made her queen, beds her night after night, and killed her cousin Anne. Her Boleyn Inheritance: the threat of the axe. JANE ROCHFORD She is the Boleyn girl whose testimony sent her husband and sister-in-law to their deaths. She is the trusted friend of two threatened queens, the perfectly loyal spy for her uncle, the Duke of Norfolk, and a canny survivor in the murderous court of a most dangerous king. Throughout Europe, her name is a byword for malice, jealousy, and twisted lust. Her Boleyn Inheritance: a fortune and a title, in exchange for her soul. The Boleyn Inheritance is a novel drawn tight as a lute string about a court ruled by the gallows and three women whose positions brought them wealth, admiration, and power as well as deceit, betrayal, and terror. Once again, Philippa Gregory has brought a vanished world to life -- the whisper of a silk skirt on a stone stair, the yellow glow of candlelight illuminating a hastily written note, the murmurs of the crowd gathering on Tower Green below the newly built scaffold. In The Boleyn Inheritance Gregory is at her intelligent and page-turning best.",http://books.google.co.in/books?id=xZNVDAaxrGIC&printsec=frontcover&dq=subject:fiction&hl=&cd=6&source=gbs_api
Resurrection,['Leo Tolstoy'],['Fiction'],1947,"While serving as a juror at the trial of a prostitute, Prince Nekhlyudov recognizes the defendant as a young servant girl he once loved and abandoned and tries to rectify the situation.--Résumé de l'éditeur.",http://books.google.co.in/books?id=LNRKAAAAYAAJ&dq=subject:fiction&hl=&cd=7&source=gbs_api
The Prophet,['Kahlil Gibran'],['Fiction'],2020-10-29,"A 20th century classic, The Prophet is thought-provoking, comforting and wise, and its simple truths remain compelling and rewarding to this day. Utterly unique and beloved around the world, The Prophet is a collection of twenty-six poetic essays by the Lebanese artist, philosopher and writer Kahlil Gibran. Telling the story of the prophet Al-Mustafa and his conversations with various acquaintances as he returns home after a long absence, the book touches on subjects of universal concern, including love, friendship, passion, pain, religion and freedom.",http://books.google.co.in/books?id=nAYBEAAAQBAJ&printsec=frontcover&dq=subject:fiction&hl=&cd=8&source=gbs_api
Sunset Park,['Paul Auster'],['Fiction'],2010-11-04,"Paul Auster's Sunset Park is set in the sprawling flatlands of Florida, where twenty-eight-year-old Miles is photographing the last lingering traces of families who have abandoned their houses due to debt or foreclosure. Miles is haunted by guilt for having inadvertently caused the death of his step-brother, a situation that caused him to flee his father and step-mother in New York seven years ago. What keeps him in Florida is his relationship with a teenage high-school girl, Pilar, but when her family threatens to expose their relationship, Miles decides to protect Pilar by going back to Brooklyn, where he settles in a squat to prepare himself to face the inevitable confrontation with his father - a confrontation he has been avoiding for years. Set against the backdrop of the devastating global recession, and pulsing with the energy of Auster's previous novel Invisible, Sunset Park is as mythic as it is contemporary, as in love with baseball as it is with literature. It is above all, a story about love and forgiveness - not only among men and women, but also between fathers and sons.",http://books.google.co.in/books?id=WK_mPzxMFfoC&printsec=frontcover&dq=subject:fiction&hl=&cd=9&source=gbs_api
The Jungle Book Illustrated,['Rudyard Kipling'],no genre,2021-03-25,"The Jungle Book (1894) is a collection of stories by the English author Rudyard Kipling. Most of the characters are animals such as Shere Khan the tiger and Baloo the bear, though a principal character is the boy or ""man-cub"" Mowgli, who is raised in the jungle by wolves. The stories are set in a forest in India; one place mentioned repeatedly is ""Seonee"" (Seoni), in the central state of Madhya Pradesh.",http://books.google.co.in/books?id=bHhgzgEACAAJ&dq=subject:fiction&hl=&cd=10&source=gbs_api
